"","term_name","p_value"
"1","nucleic acid metabolic process",5.68489381540552e-164
"2","nucleobase-containing compound metabolic process",2.42688984032365e-146
"3","heterocycle metabolic process",3.48292754585133e-138
"4","cellular nitrogen compound metabolic process",5.57183601536999e-136
"5","cellular aromatic compound metabolic process",9.58995074366807e-135
"6","organic cyclic compound metabolic process",6.81948793138957e-130
"7","RNA metabolic process",2.13701812318657e-126
"8","gene expression",3.09120671176238e-115
"9","macromolecule metabolic process",5.32879344745288e-84
"10","cellular metabolic process",5.03332723293095e-80
"11","RNA processing",3.02435323073177e-71
"12","regulation of macromolecule metabolic process",1.21163993253741e-69
"13","regulation of gene expression",1.82943189691895e-66
"14","nitrogen compound metabolic process",3.40897456439002e-65
"15","regulation of nucleobase-containing compound metabolic process",5.83932774636619e-64
"16","regulation of metabolic process",2.8258528154608e-63
"17","regulation of cellular metabolic process",1.16325880287893e-59
"18","regulation of nitrogen compound metabolic process",7.41785810811127e-58
"19","regulation of primary metabolic process",2.26687649648624e-56
"20","cell cycle",9.96831364003045e-56
"21","regulation of RNA metabolic process",2.73950388357501e-55
"22","primary metabolic process",4.67981440228378e-55
"23","organic substance metabolic process",1.43315610175511e-52
"24","cell cycle process",9.37922933385705e-48
"25","regulation of macromolecule biosynthetic process",6.52531213838591e-47
"26","regulation of cellular biosynthetic process",3.12467080465822e-45
"27","regulation of RNA biosynthetic process",4.56137995633653e-45
"28","regulation of nucleic acid-templated transcription",4.56137995633653e-45
"29","regulation of DNA-templated transcription",4.56137995633653e-45
"30","nucleobase-containing compound biosynthetic process",1.94618171529348e-44
"31","RNA biosynthetic process",1.97274359985921e-44
"32","DNA-templated transcription",2.94718356027339e-44
"33","nucleic acid-templated transcription",2.94718356027339e-44
"34","regulation of biosynthetic process",4.22735949305222e-44
"35","cellular nitrogen compound biosynthetic process",1.79411068155743e-42
"36","metabolic process",1.6172059430662e-41
"37","aromatic compound biosynthetic process",6.00932977165364e-41
"38","mitotic cell cycle process",9.89679154874582e-41
"39","mitotic cell cycle",3.46833182346583e-40
"40","heterocycle biosynthetic process",3.71390907309944e-40
"41","macromolecule biosynthetic process",1.16456181876658e-39
"42","ncRNA metabolic process",2.15839593683898e-39
"43","organic cyclic compound biosynthetic process",9.20558709321377e-39
"44","DNA metabolic process",1.06393553254591e-38
"45","ribonucleoprotein complex biogenesis",1.06795084088045e-37
"46","ncRNA processing",2.39037678606872e-37
"47","chromosome organization",3.65209264171653e-37
"48","ribosome biogenesis",9.25850085088945e-37
"49","mRNA metabolic process",1.85654765710874e-35
"50","transcription by RNA polymerase II",1.59492714257145e-33
"51","cellular component organization or biogenesis",3.03176977677941e-32
"52","mitotic nuclear division",4.50413845125868e-32
"53","regulation of transcription by RNA polymerase II",1.06780159214392e-31
"54","cellular biosynthetic process",1.26847106601382e-31
"55","nuclear division",2.9333260567804e-31
"56","DNA damage response",5.63747242519264e-31
"57","rRNA metabolic process",1.18429037653963e-29
"58","regulation of cell cycle",1.48816262342213e-29
"59","DNA repair",1.72202396770875e-29
"60","cellular process",3.27289619981612e-29
"61","rRNA processing",6.9632646605501e-29
"62","organelle fission",1.08309992690619e-28
"63","mRNA processing",6.85281610482558e-28
"64","regulation of cell cycle process",4.029171892495e-27
"65","organic substance biosynthetic process",9.35587610004778e-27
"66","cell division",2.55809171850629e-26
"67","nuclear chromosome segregation",4.3304276032106e-26
"68","biosynthetic process",6.03483958482572e-26
"69","chromosome segregation",1.19927284159955e-25
"70","regulation of biological process",1.53918951176219e-25
"71","regulation of cellular process",3.64581222001557e-25
"72","regulation of mitotic cell cycle",2.01322566204468e-22
"73","sister chromatid segregation",2.70242670964075e-22
"74","mitotic sister chromatid segregation",4.24149794173792e-22
"75","meiotic cell cycle",2.29164925962425e-21
"76","biological regulation",7.37674213719294e-21
"77","RNA splicing",9.04269746979695e-20
"78","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",1.04236283716596e-19
"79","mRNA splicing, via spliceosome",1.04236283716596e-19
"80","RNA splicing, via transesterification reactions",1.04236283716596e-19
"81","negative regulation of macromolecule metabolic process",3.67943791634635e-19
"82","meiotic cell cycle process",1.2291659615434e-18
"83","positive regulation of macromolecule metabolic process",3.12357087642574e-18
"84","negative regulation of metabolic process",5.89003793284622e-18
"85","regulation of cell cycle phase transition",8.00273527132804e-18
"86","cell cycle phase transition",9.22347527021548e-18
"87","negative regulation of biological process",1.87455097042963e-17
"88","negative regulation of cell cycle",2.16135217912451e-17
"89","positive regulation of metabolic process",2.997392350024e-17
"90","DNA replication",6.11918060674466e-17
"91","chromatin organization",6.54672669628187e-17
"92","histone modification",1.28545339974613e-16
"93","positive regulation of nucleobase-containing compound metabolic process",2.67341625253015e-16
"94","negative regulation of cell cycle process",3.92655903945652e-16
"95","positive regulation of nitrogen compound metabolic process",1.21190856055153e-15
"96","positive regulation of RNA metabolic process",1.45008846979257e-15
"97","negative regulation of mitotic cell cycle",1.67700168955851e-15
"98","positive regulation of cellular metabolic process",5.51600755280319e-15
"99","double-strand break repair",8.69487602769397e-15
"100","positive regulation of RNA biosynthetic process",1.04282910224103e-14
"101","positive regulation of DNA-templated transcription",1.04282910224103e-14
"102","positive regulation of nucleic acid-templated transcription",1.04282910224103e-14
"103","positive regulation of macromolecule biosynthetic process",1.54973782464077e-14
"104","negative regulation of cell cycle phase transition",1.68941918288258e-14
"105","cellular component organization",1.82223384482984e-14
"106","cell cycle checkpoint signaling",2.32383141345071e-14
"107","histone acetylation",5.04387081104338e-14
"108","DNA recombination",5.13266167645391e-14
"109","positive regulation of biosynthetic process",1.21106727971996e-13
"110","positive regulation of cellular biosynthetic process",1.21601347473331e-13
"111","mitotic cell cycle checkpoint signaling",1.28131055815036e-13
"112","peptidyl-lysine acetylation",1.5583054879553e-13
"113","internal peptidyl-lysine acetylation",1.5583054879553e-13
"114","internal protein amino acid acetylation",1.5583054879553e-13
"115","peptidyl-lysine modification",1.65728189573349e-13
"116","DNA-templated DNA replication",1.90515851418966e-13
"117","cellular component biogenesis",2.30884885706196e-13
"118","nuclear transport",3.16554114610463e-13
"119","nucleocytoplasmic transport",3.16554114610463e-13
"120","mitotic cell cycle phase transition",3.85664922376554e-13
"121","negative regulation of gene expression",5.1023928460386e-13
"122","RNA 3'-end processing",5.76792894201175e-13
"123","regulation of mitotic cell cycle phase transition",7.29391455352869e-13
"124","meiotic nuclear division",8.84785668365566e-13
"125","meiosis I cell cycle process",9.01839859851054e-13
"126","protein acetylation",1.08835515550937e-12
"127","cellular response to stress",1.53084134269964e-12
"128","negative regulation of cellular process",1.93187730684958e-12
"129","positive regulation of biological process",2.81211878370631e-12
"130","ribosomal small subunit biogenesis",6.21717987740724e-12
"131","spindle organization",1.47944490046051e-11
"132","ribosomal large subunit biogenesis",1.53856362578368e-11
"133","positive regulation of cellular process",1.973680807497e-11
"134","organelle organization",2.41534346252822e-11
"135","chromatin remodeling",4.02215510121759e-11
"136","meiotic chromosome segregation",6.40350500320952e-11
"137","regulation of nuclear division",2.18611949283658e-10
"138","regulation of mitotic nuclear division",2.61904903460543e-10
"139","positive regulation of transcription by RNA polymerase II",4.33450321896072e-10
"140","microtubule cytoskeleton organization involved in mitosis",5.40128533563467e-10
"141","RNA modification",7.48403253952919e-10
"142","double-strand break repair via homologous recombination",1.05839054788312e-09
"143","recombinational repair",1.05839054788312e-09
"144","mitotic spindle organization",1.18250989713103e-09
"145","nuclear export",1.25452256338394e-09
"146","methylation",1.75439606886151e-09
"147","negative regulation of mitotic cell cycle phase transition",1.77487996159593e-09
"148","maturation of SSU-rRNA",3.26661841926531e-09
"149","negative regulation of cellular metabolic process",3.75263250627414e-09
"150","mRNA 3'-end processing",4.64788403501519e-09
"151","DNA duplex unwinding",4.90298108386894e-09
"152","DNA geometric change",4.90298108386894e-09
"153","mitotic chromosome condensation",6.64836099637872e-09
"154","mRNA transport",6.72134587526883e-09
"155","RNA localization",6.92503006861739e-09
"156","epigenetic regulation of gene expression",9.45474317143109e-09
"157","regulation of DNA metabolic process",1.11789328137964e-08
"158","non-membrane-bounded organelle assembly",1.34393419206309e-08
"159","cellular process involved in reproduction in multicellular organism",1.60168882194101e-08
"160","RNA export from nucleus",1.63878576252881e-08
"161","DNA replication initiation",1.76706633711157e-08
"162","nucleic acid phosphodiester bond hydrolysis",1.78783998752196e-08
"163","regulation of mRNA metabolic process",2.15262526184591e-08
"164","chromosome localization",2.34691861059636e-08
"165","chromosome condensation",2.38117928749508e-08
"166","DNA integrity checkpoint signaling",2.8413342943326e-08
"167","tRNA metabolic process",3.08936744566128e-08
"168","female meiotic nuclear division",3.40837039336066e-08
"169","protein acylation",4.56236921316644e-08
"170","macromolecule methylation",5.42398228547327e-08
"171","DNA conformation change",5.65776583742659e-08
"172","negative regulation of macromolecule biosynthetic process",7.75684741272064e-08
"173","chromosome separation",8.98915315119729e-08
"174","regulation of organelle organization",9.01368595929183e-08
"175","establishment of RNA localization",1.17764634014621e-07
